method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
r3_00_r2_06_base,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_00_r2_06_base\Final\chazhuang.1_Final.png,16.61503807,1.223609067,7.275159379,289.3139939,14.52904643,2238,0.904867053,20.46762573,1.520815372,37.21044121
r3_01_gamma_low_048,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_01_gamma_low_048\Final\chazhuang.1_Final.png,16.53079592,1.218747991,7.259766324,290.4152919,14.6320696,2287,0.9040578604,20.50800348,1.519432664,37.07538152
r3_02_gamma_050_188_60,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_02_gamma_050_188_60\Final\chazhuang.1_Final.png,16.90032801,1.239862615,7.264297415,302.8463215,14.89969329,2332,0.9002707601,20.21610157,1.602285266,37.68733779
r3_03_gamma_050_195_55,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_03_gamma_050_195_55\Final\chazhuang.1_Final.png,17.29908514,1.26252997,7.238086784,321.5608836,15.34292057,2473,0.8931913972,19.72532571,1.739284635,38.40358604
r3_04_gamma_052_185_60,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_04_gamma_052_185_60\Final\chazhuang.1_Final.png,16.89675011,1.239753152,7.284828491,298.2690635,14.71679859,2238,0.9016981125,20.30924042,1.581659913,37.62707185
r3_05_gamma_048_190_58,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_05_gamma_048_190_58\Final\chazhuang.1_Final.png,16.92384311,1.240992138,7.23395863,310.4275225,15.14590917,2422,0.8971145153,20.0417149,1.65149796,37.812328
r3_06_cutoff_70,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_06_cutoff_70\Final\chazhuang.1_Final.png,16.30751497,1.206282151,7.291429842,274.7678438,14.15254924,2171,0.9090027213,20.80866817,1.443512082,36.70397189
r3_07_cutoff_58,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_07_cutoff_58\Final\chazhuang.1_Final.png,16.89439687,1.239540979,7.268406988,300.3347424,14.82134114,2312,0.8996152282,20.2160991,1.590242386,37.59807048
r3_08_entropy_soft,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_08_entropy_soft\Final\chazhuang.1_Final.png,16.21205309,1.200810027,7.242654129,276.9088362,14.16339942,2150,0.9092125893,20.38451614,1.514120817,36.59716797
r3_09_entropy_strong,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_09_entropy_strong\Final\chazhuang.1_Final.png,17.41730303,1.269231508,7.334588157,314.3066663,15.27426247,2461,0.8943852186,20.6095404,1.52916491,38.64292815
r3_10_entropy_global_high,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_10_entropy_global_high\Final\chazhuang.1_Final.png,17.1512137,1.254215292,7.316652474,304.9557602,14.94679286,2334,0.8998688459,20.54058116,1.525043011,38.20292003
r3_11_entropy_local_high,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_11_entropy_local_high\Final\chazhuang.1_Final.png,16.91350183,1.240538838,7.293951982,298.1522139,14.83420942,2318,0.9002968073,20.51750651,1.520107985,37.73174283
r3_12_entropy_tight,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_12_entropy_tight\Final\chazhuang.1_Final.png,16.69336013,1.227999383,7.287550092,292.4853105,14.64583687,2273,0.9033603668,20.57515019,1.520346642,37.51380264
r3_13_rghs_fusion_stronghomo,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_13_rghs_fusion_stronghomo\Final\chazhuang.1_Final.png,16.63810486,1.226205705,7.286838595,288.1466791,14.52111912,2177,0.9051946998,20.83837734,1.558203697,37.53785446
r3_00_r2_06_base,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_00_r2_06_base\Final\chazhuang.10_Final.png,27.81652687,1.873335881,6.495669176,554.1811275,18.73868691,3704,0.8557346463,14.55986765,0.3932795227,53.72015612
r3_01_gamma_low_048,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_01_gamma_low_048\Final\chazhuang.10_Final.png,27.8991379,1.877546665,6.505481973,556.0099481,18.8338513,3777,0.8485440016,14.49188799,0.4024194181,53.70807723
r3_02_gamma_050_188_60,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_02_gamma_050_188_60\Final\chazhuang.10_Final.png,27.96543204,1.882230709,6.458584184,565.9609865,18.94391243,3724,0.8444193602,14.35788492,0.3746127784,53.56839775
r3_03_gamma_050_195_55,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_03_gamma_050_195_55\Final\chazhuang.10_Final.png,28.21257671,1.897130098,6.332095272,579.0713607,18.79015425,3628,0.8257467151,14.13763716,0.3779332042,53.66504825
r3_04_gamma_052_185_60,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_04_gamma_052_185_60\Final\chazhuang.10_Final.png,28.2023843,1.896359855,6.492694045,566.5677949,18.85455227,3611,0.8552480936,14.58186064,0.3828359246,54.19820453
r3_05_gamma_048_190_58,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_05_gamma_048_190_58\Final\chazhuang.10_Final.png,27.85900623,1.876375873,6.417326271,566.291154,18.93468085,3753,0.8272616863,14.15816435,0.3738788664,53.7382686
r3_06_cutoff_70,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_06_cutoff_70\Final\chazhuang.10_Final.png,28.2606397,1.898249711,6.576439427,547.4400715,18.77248256,3794,0.8714920878,14.91076083,0.371031642,54.3579057
r3_07_cutoff_58,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_07_cutoff_58\Final\chazhuang.10_Final.png,27.94681892,1.881398548,6.491071421,562.6498629,18.86305864,3646,0.845515132,14.39700239,0.3795892298,53.86493539
r3_08_entropy_soft,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_08_entropy_soft\Final\chazhuang.10_Final.png,27.21955439,1.837015778,6.46128022,535.2454203,18.36862511,3636,0.8533352017,14.56476106,0.3974928558,52.68209784
r3_09_entropy_strong,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_09_entropy_strong\Final\chazhuang.10_Final.png,28.79874384,1.932083658,6.598512243,589.1095464,19.40100995,3844,0.8595266342,14.53831983,0.4011158347,55.37441108
r3_10_entropy_global_high,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_10_entropy_global_high\Final\chazhuang.10_Final.png,28.57973543,1.919269312,6.539618746,579.4823962,19.1892756,3804,0.8589760661,14.56369365,0.3933808804,55.01787446
r3_11_entropy_local_high,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_11_entropy_local_high\Final\chazhuang.10_Final.png,28.01032412,1.884708999,6.576501301,563.8981828,18.9277833,3806,0.8568653464,14.53631138,0.398352623,54.06798462
r3_12_entropy_tight,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_12_entropy_tight\Final\chazhuang.10_Final.png,28.50345235,1.912350155,6.551175128,573.7594142,19.13130633,3791,0.8597456217,14.75871533,0.3951001763,54.67511429
r3_13_rghs_fusion_stronghomo,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_13_rghs_fusion_stronghomo\Final\chazhuang.10_Final.png,28.53437688,1.91624881,6.504029846,549.1157719,18.73657747,3708,0.8510764241,14.60744125,0.389683634,54.47575871
r3_00_r2_06_base,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_00_r2_06_base\Final\chazhuang.11_Final.png,14.08903295,1.090507936,5.654860603,936.7506368,18.96647205,4298,0.8161417246,14.10107776,1.462088943,27.51411608
r3_01_gamma_low_048,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_01_gamma_low_048\Final\chazhuang.11_Final.png,13.94303293,1.082068953,5.582105348,932.259762,18.82126321,4243,0.8188483119,14.1833163,1.45988512,27.17179145
r3_02_gamma_050_188_60,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_02_gamma_050_188_60\Final\chazhuang.11_Final.png,14.11844076,1.092046114,5.555969916,952.6903556,19.12122319,4241,0.8110172749,14.18097731,1.568197966,27.54932558
r3_03_gamma_050_195_55,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_03_gamma_050_195_55\Final\chazhuang.11_Final.png,14.28083069,1.100858081,5.550876536,977.1063725,19.47539975,4279,0.7997494936,14.14173655,1.752884984,27.86691653
r3_04_gamma_052_185_60,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_04_gamma_052_185_60\Final\chazhuang.11_Final.png,14.14630137,1.093859892,5.555799646,948.4937892,18.92210792,4208,0.8170523047,14.09991078,1.504590631,27.67969892
r3_05_gamma_048_190_58,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_05_gamma_048_190_58\Final\chazhuang.11_Final.png,14.06432825,1.088805094,5.452850765,958.620479,19.08850973,4282,0.8101627231,14.18760427,1.638062239,27.15431201
r3_06_cutoff_70,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_06_cutoff_70\Final\chazhuang.11_Final.png,13.9214379,1.0812693,5.622627353,914.1804712,18.46615371,4297,0.8315785527,14.14961668,1.318245292,27.50478821
r3_07_cutoff_58,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_07_cutoff_58\Final\chazhuang.11_Final.png,14.10509398,1.091433187,5.50315105,946.4093652,18.82596192,4218,0.8172973394,14.12200495,1.520328045,27.54458645
r3_08_entropy_soft,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_08_entropy_soft\Final\chazhuang.11_Final.png,13.90923835,1.080206625,5.619067768,925.4895572,18.81606447,4241,0.8186987638,14.01999088,1.465990186,27.2702553
r3_09_entropy_strong,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_09_entropy_strong\Final\chazhuang.11_Final.png,14.42260235,1.109613639,5.706353828,958.2379653,19.32235759,4354,0.8083517551,14.24739671,1.466744781,28.1739127
r3_10_entropy_global_high,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_10_entropy_global_high\Final\chazhuang.11_Final.png,14.31712077,1.103716604,5.656126463,949.2842379,19.0982264,4298,0.8138663173,14.23933611,1.463110447,27.90537273
r3_11_entropy_local_high,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_11_entropy_local_high\Final\chazhuang.11_Final.png,14.23091233,1.098551642,5.7300864,946.9954203,19.20060313,4345,0.8112863898,14.10560825,1.464446425,28.03666807
r3_12_entropy_tight,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_12_entropy_tight\Final\chazhuang.11_Final.png,14.222089,1.097978699,5.66003823,947.8501029,19.10429152,4315,0.8123506904,14.25726735,1.467570066,27.92668591
r3_13_rghs_fusion_stronghomo,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_13_rghs_fusion_stronghomo\Final\chazhuang.11_Final.png,13.82778061,1.075685701,5.48530235,927.8106289,18.56887544,4229,0.8260024786,13.97531388,1.54440403,26.88984509
r3_00_r2_06_base,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_00_r2_06_base\Final\chazhuang.12_Final.png,24.17574302,1.661447739,6.774860502,506.5010629,17.45655839,2831,0.8579993248,15.00695857,0.3784017861,48.18637685
r3_01_gamma_low_048,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_01_gamma_low_048\Final\chazhuang.12_Final.png,24.19053475,1.661761239,6.773611694,509.5621914,17.57573017,2911,0.8495002389,14.84379824,0.3818712533,48.34215224
r3_02_gamma_050_188_60,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_02_gamma_050_188_60\Final\chazhuang.12_Final.png,24.22349829,1.666207769,6.66846014,518.1480016,17.46277002,2846,0.8483938575,14.78860297,0.3710570931,48.08355058
r3_03_gamma_050_195_55,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_03_gamma_050_195_55\Final\chazhuang.12_Final.png,24.34631802,1.674109977,6.596596009,529.7514351,17.50093476,2768,0.8242108822,14.27637444,0.3899292052,47.69864453
r3_04_gamma_052_185_60,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_04_gamma_052_185_60\Final\chazhuang.12_Final.png,24.32852137,1.671796356,6.720789417,516.8206505,17.35391682,2815,0.8584724665,15.01578504,0.3742604852,48.02343996
r3_05_gamma_048_190_58,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_05_gamma_048_190_58\Final\chazhuang.12_Final.png,24.10291479,1.658059808,6.681128683,520.5854281,17.496245,2852,0.8274483681,14.37190624,0.3781265616,47.7517415
r3_06_cutoff_70,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_06_cutoff_70\Final\chazhuang.12_Final.png,24.17885896,1.660282846,6.814105634,496.0040605,17.34645446,2906,0.8729022741,15.40789558,0.360422641,48.48629216
r3_07_cutoff_58,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_07_cutoff_58\Final\chazhuang.12_Final.png,24.37162214,1.674081352,6.730787166,517.131921,17.54425585,2806,0.8467632532,14.79033832,0.3770565987,48.28528023
r3_08_entropy_soft,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_08_entropy_soft\Final\chazhuang.12_Final.png,23.72469573,1.635056936,6.728573612,491.369906,17.14553732,2783,0.8553563952,14.94848228,0.3859639466,47.28184593
r3_09_entropy_strong,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_09_entropy_strong\Final\chazhuang.12_Final.png,25.08464344,1.71530309,6.86506107,533.9747502,18.04550057,2969,0.8615071177,15.09249961,0.3928116262,49.79907244
r3_10_entropy_global_high,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_10_entropy_global_high\Final\chazhuang.12_Final.png,24.88633975,1.703773862,6.804070584,527.6518515,17.86765431,2932,0.8616460562,15.10697489,0.3851341009,49.26792598
r3_11_entropy_local_high,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_11_entropy_local_high\Final\chazhuang.12_Final.png,24.35364854,1.671601236,6.82415082,514.3524001,17.65284777,2901,0.8583347201,14.99955281,0.3893325329,48.34891289
r3_12_entropy_tight,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_12_entropy_tight\Final\chazhuang.12_Final.png,24.79226116,1.69627372,6.816834906,524.4533993,17.86186201,2913,0.8628405333,15.22491892,0.3825296164,49.09433641
r3_13_rghs_fusion_stronghomo,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_13_rghs_fusion_stronghomo\Final\chazhuang.12_Final.png,24.67390465,1.692957396,6.776424668,501.5458415,17.37632645,2842,0.85296911,14.93577366,0.3829664588,49.02503086
r3_00_r2_06_base,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_00_r2_06_base\Final\chazhuang.2_Final.png,6.928993096,0.6818619381,6.406756308,89.34185443,6.561492172,770,0.7740173936,11.44635347,0.5230759978,15.73514469
r3_01_gamma_low_048,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_01_gamma_low_048\Final\chazhuang.2_Final.png,6.851135888,0.6775313156,6.45686223,91.03821023,6.629680133,799,0.7738195658,11.53653691,0.5198144913,15.73065111
r3_02_gamma_050_188_60,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_02_gamma_050_188_60\Final\chazhuang.2_Final.png,7.019085121,0.6868908901,6.347495409,95.64710521,6.789353008,856,0.7717385292,11.44219049,0.5084062815,15.83841223
r3_03_gamma_050_195_55,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_03_gamma_050_195_55\Final\chazhuang.2_Final.png,7.119269777,0.6925028734,6.383877754,104.7157866,7.071350516,927,0.7681660652,11.43087392,0.5402963161,15.87401128
r3_04_gamma_052_185_60,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_04_gamma_052_185_60\Final\chazhuang.2_Final.png,7.047623001,0.6884809782,6.360569139,91.49027723,6.640198538,765,0.772580266,11.43376277,0.5191395879,16.06985759
r3_05_gamma_048_190_58,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_05_gamma_048_190_58\Final\chazhuang.2_Final.png,6.999077441,0.6858251544,6.294462775,102.2536393,6.953483811,897,0.7681532502,11.4757752,0.5214855671,15.93247616
r3_06_cutoff_70,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_06_cutoff_70\Final\chazhuang.2_Final.png,6.800644864,0.6747283391,6.348484776,83.77271748,6.340480984,713,0.7759767175,11.5664512,0.4654875696,15.54592634
r3_07_cutoff_58,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_07_cutoff_58\Final\chazhuang.2_Final.png,7.055279091,0.6889000707,6.326763176,95.08573668,6.803765874,825,0.7696146369,11.46044775,0.5175158381,15.99954263
r3_08_entropy_soft,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_08_entropy_soft\Final\chazhuang.2_Final.png,6.75028245,0.671882334,6.321426587,86.19979918,6.439085428,725,0.7743642926,11.42613671,0.5224224925,15.43538956
r3_09_entropy_strong,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round3\r3_09_entropy_strong\Final\chazhuang.2_Final.png,7.251693579,0.6998984247,6.469899518,94.91403311,6.783344002,820,0.7723653913,11.46489832,0.5309045315,16.35361857
