stem,stage,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.3,BPH,0.0,0.0,0.0,99.0,0.35204175114631653,0.35204175114631653,0.9999999971594278,26.455039978027344,26.455039978027344,0.9999999999622
chazhuang.3,IMF1Ray,1.0063183307647705,0.894970715045929,0.0036523437593132257,40.846195721797656,0.35204175114631653,0.38288071751594543,1.0876003064455022,26.455039978027344,27.84058952331543,1.0523737460002518
chazhuang.3,RGHS,1.5701985359191895,1.459570288658142,0.0035937500651925802,38.02244379510729,0.35204175114631653,0.36478134989738464,1.0361877466902654,26.455039978027344,28.831247329711914,1.0898205919389403
chazhuang.3,CLAHE,1.7961751222610474,1.711122989654541,0.003935547079890966,39.31542843098761,0.35204175114631653,0.3607012927532196,1.0245980499588696,26.455039978027344,28.13270378112793,1.0634156593008584
chazhuang.3,Fused,0.02458333410322666,0.014111327938735485,0.013198242522776127,63.20134537722701,0.35204175114631653,0.3519393801689148,0.9997092050111169,26.455039978027344,26.444316864013672,0.9995946664596926
chazhuang.3,Final,0.02458333410322666,0.014111327938735485,0.013198242522776127,63.20134537722701,0.35204175114631653,0.3519393801689148,0.9997092050111169,26.455039978027344,26.444316864013672,0.9995946664596926
chazhuang.4,BPH,17.21213150024414,6.825781345367432,19.364540100097656,22.305769719150344,0.09845991432666779,0.09755756705999374,0.990835374338072,4.6736063957214355,4.640909671783447,0.993003962644153
chazhuang.4,IMF1Ray,17.5553035736084,6.249111175537109,19.3651065826416,22.127603391609565,0.09845991432666779,0.13164229691028595,1.3370141186240767,4.6736063957214355,5.212687015533447,1.115345746528886
chazhuang.4,RGHS,8.112961769104004,6.300419807434082,10.000419616699219,28.40704066171563,0.09845991432666779,0.1274118721485138,1.2940481588450483,4.6736063957214355,6.196817398071289,1.3259176901200742
chazhuang.4,CLAHE,6.700459003448486,6.180849552154541,8.000596046447754,30.049578024764475,0.09845991432666779,0.13097567856311798,1.3302436644249616,4.6736063957214355,5.87481689453125,1.2570200388831356
chazhuang.4,Fused,14.447880744934082,1.364687442779541,14.659951210021973,23.967537373982836,0.09845991432666779,0.10531947761774063,1.0696685780026762,4.6736063957214355,4.8196892738342285,1.0312569918629158
chazhuang.4,Final,15.05778980255127,2.340400457382202,15.588427543640137,23.622982392297157,0.09845991432666779,0.10371982306241989,1.0534218185979636,4.6736063957214355,4.797877311706543,1.0265899402808683
chazhuang.6,BPH,0.0,0.0,0.0,99.0,0.22743818163871765,0.22743818163871765,0.9999999956032009,15.079992294311523,15.079992294311523,0.9999999999336869
chazhuang.6,IMF1Ray,1.2299772500991821,1.007900357246399,0.012524413876235485,41.46317170182323,0.22743818163871765,0.2706148624420166,1.189839187520613,15.079992294311523,16.36309051513672,1.0850861323201153
chazhuang.6,RGHS,1.4394042491912842,1.1966112852096558,0.017275391146540642,38.93327776299159,0.22743818163871765,0.24862153828144073,1.0931389593293248,15.079992294311523,17.292280197143555,1.1467035167199553
chazhuang.6,CLAHE,1.1838834285736084,0.9541113376617432,0.017202148213982582,40.92275541998607,0.22743818163871765,0.24750901758670807,1.0882474293240052,15.079992294311523,16.816686630249023,1.1151654656665475
chazhuang.6,Fused,0.06929036229848862,0.009257812052965164,0.03535156324505806,58.605061131912336,0.22743818163871765,0.22756923735141754,1.0005762212447329,15.079992294311523,15.075042724609375,0.9996717789634623
