variant,role,image_count,tolerance_px,mean_pred_edge_density,mean_boundary_precision_tol,mean_boundary_recall_tol,mean_boundary_f1_tol,mean_false_edge_ratio_tol,mean_false_edge_density_tol,mean_missed_gt_ratio_tol,mean_pred_components_per_1k_edge_px,mean_endpoints_per_1k_skel_px,mean_edge_width_proxy,mean_mean_pred_to_gt_distance,mean_p95_pred_to_gt_distance,mean_mean_gt_to_pred_distance,mean_p95_gt_to_pred_distance,mean_mean_abs_luma_delta_vs_raw,mean_p95_abs_luma_delta_vs_raw
raw_input_anchor,raw MyEdge detector-domain input anchor,168,2,0.041240234375000004,0.4763074134264847,0.8962021956537591,0.5813305709933555,0.5236925865735154,0.025841587611607143,0.1037978043462408,10.623043752996816,56.10096234749325,2.4816478096498407,6.88041998675987,20.662970155135508,2.091696557052299,8.964071238671961,0.0,0.0
legacy_stage1_final,locked Stage1 Final known to hurt fixed-detector MyEdge metrics,168,2,0.07664091564360118,0.29155361404742264,0.9423961801162247,0.4094189016120519,0.7084463859525775,0.06053989955357143,0.057603819883775303,24.482513804885283,78.85465180428403,1.8588460256828059,28.43772644080345,74.63762843391,1.04659058300374,5.24686989198357,32.07200949532645,57.51190476190476
edge_preserve_original_control,same-chain original-control sanity check,168,2,0.041240234375000004,0.4763074134264847,0.8962021956537591,0.5813305709933555,0.5236925865735154,0.025841587611607143,0.1037978043462408,10.623043752996816,56.10096234749325,2.4816478096498407,6.88041998675987,20.662970155135508,2.091696557052299,8.964071238671961,0.0,0.0
edge_preserve_raw_bph_mild_v1,P4 mild raw-BPH edge-preserve variant,168,2,0.041194254557291664,0.47681778800427377,0.895600354875109,0.5814262043159063,0.5231822119957262,0.02581978934151786,0.10439964512489103,10.70425975253103,56.40338985709282,2.4781474091741877,6.8558561487705605,20.50723693444624,2.085856195301823,8.953704492302004,0.6699036227295264,1.1785714285714286
edge_preserve_raw_bph_moderate_v1,P4 moderate raw-BPH edge-preserve variant,168,2,0.04112944103422619,0.4770228737408421,0.8955442891792169,0.5816999052525147,0.5229771262591578,0.025757475353422616,0.10445571082078299,10.739857588583096,56.760668693076674,2.4802149266089595,6.877785801958951,20.604205544613254,2.085976959608073,8.99258021396978,0.5892465930609476,1.130952380952381
generic_luma_clahe_mild_v1,P7 generic luminance CLAHE control,168,2,0.043763195219494046,0.46759096426815205,0.9003805030553282,0.5737596538522234,0.532409035731848,0.02819899786086309,0.09961949694467188,11.280219682555325,57.921956286230376,2.4699717423622807,7.423565805576759,22.21694341318825,1.987914039818681,8.707933648910076,1.1574590198163475,3.4285714285714284
generic_luma_gamma_mild_v1,P7 generic luminance gamma control,168,2,0.04124982561383928,0.47636446343295347,0.8957310969318019,0.581190051390052,0.5236355365670464,0.02587164015997024,0.10426890306819812,10.660388664897873,56.08973690870688,2.48184940277142,6.889824124042207,20.83223302991195,2.1001550414097543,8.981371001046368,1.028215332843718,1.7678571428571428
edge_safe_gamma_bph_v1,"P9 candidate, not MyEdge-evaluated yet",168,2,0.04124162946428572,0.4766463344639966,0.8958535342755031,0.5813994146430036,0.5233536655360034,0.025852806454613096,0.10414646572449679,10.788912365521606,56.14315967507154,2.4795128783121076,6.8576722008456255,20.518887151227915,2.090395527857327,8.973770017997303,0.7066788170043201,1.4107142857142858
boundary_aware_luma_bph_v1,"P10 candidate, not MyEdge-evaluated yet",168,2,0.040844087146577376,0.47817533401510903,0.8957708231685659,0.5829880196066137,0.5218246659848909,0.02551449730282738,0.1042291768314341,10.827427404889834,56.464323070855265,2.455294180852735,6.809216066991377,20.469426659101554,2.0909586526142427,8.955472438538814,0.4338293458401625,1.1011904761904763
skeleton_safe_luma_bph_v1,"P11 skeleton-safe smooth-only candidate, not MyEdge-evaluated yet",168,2,0.04106951032366072,0.47809077768034264,0.894752339629052,0.5824059885613588,0.5219092223196574,0.025664760044642857,0.10524766037094808,10.18577408276909,54.79826337341485,2.511734961338498,6.781230183003667,20.676466516763888,2.1103884995110094,9.031975113278587,0.5571848830829064,1.2261904761904763
